con_uncon,log_diversity,pollinator_N
uncon,3.608809242675524,1.7817553746524688
uncon,2.700439718141092,1.5378190950732742
uncon,2.655351828612554,1.4842998393467859
uncon,1.925999418556223,1.3424226808222062
uncon,0.765534746362977,1.5563025007672873
uncon,3.786596361890807,1.4983105537896004
uncon,1,1.469822015978163
uncon,0,1.7958800173440752
uncon,3.548436624696042,1.8779469516291882
uncon,2.4059923596758366,1.5965970956264601
uncon,1.8073549220576042,1.4393326938302626
uncon,2.786596361890807,1.3979400086720377
uncon,0,1.2041199826559248
uncon,1,1.255272505103306
uncon,1,1.3117538610557542
uncon,0,0.7781512503836436
uncon,1.925999418556223,1.3617278360175928
uncon,3.678071905112638,1.7201593034059568
uncon,2,1.462397997898956
uncon,5.104336659814735,1.8129133566428555
uncon,1.84799690655495,1.380211241711606
uncon,1,1.3010299956639813
uncon,5.0916998341368105,1.6180480967120927
uncon,0,0.9542425094393249
uncon,0,0.9777236052888477
uncon,1.84799690655495,1.4842998393467859
uncon,0.6780719051126377,0.9294189257142927
uncon,2,1.021189299069938
uncon,3.8972404255747994,1.3010299956639813
uncon,2.655351828612554,1.3324384599156054
uncon,0,1.0413926851582251
uncon,2.608809242675524,1.2041199826559248
uncon,0,1.2304489213782739
uncon,1.765534746362977,1.1903316981702914
uncon,2.6322682154995127,1.3979400086720377
uncon,3.584962500721156,1.2787536009528289
uncon,1,1.4471580313422192
uncon,1,1.1903316981702914
uncon,2.807354922057604,1.6766936096248666
uncon,3.584962500721156,1.7958800173440752
uncon,0,1.0969100130080565
uncon,1,0.9777236052888477
uncon,1.9634741239748859,1.6901960800285136
uncon,2.7441610955704103,1.2430380486862944
uncon,2.560714954474479,1.6232492903979006
uncon,0,1.4983105537896004
uncon,2.560714954474479,1.7781512503836436
uncon,1,1.1903316981702914
uncon,3.608809242675524,1.3979400086720377
uncon,1.9634741239748859,1.0413926851582251
uncon,0,1
uncon,1.8875252707415875,1.146128035678238
uncon,5.137503523749935,1.6946051989335686
uncon,3.3923174227787602,1.4983105537896004
uncon,1,0.9542425094393249
uncon,2.350497247084133,1.3424226808222062
uncon,0.925999418556223,1.6766936096248666
uncon,3.596935142387232,1.5740312677277188
uncon,1.765534746362977,1.6180480967120927
uncon,3.4195388915137843,1.5965970956264601
uncon,5.112700132749362,1.6232492903979006
uncon,3.817623257511431,1.7283537820212285
uncon,1.765534746362977,1.4842998393467859
uncon,2.963474123974886,1
uncon,1.4329594072761063,1.6483600109809315
uncon,2.807354922057604,1.4913616938342726
uncon,0,1.4983105537896004
uncon,2.84799690655495,1.3117538610557542
uncon,1.9634741239748859,1.7634279935629373
uncon,0,0.9030899869919435
uncon,0,1.0413926851582251
uncon,1,1.3521825181113625
uncon,1,1.3222192947339193
uncon,2.765534746362977,1.0606978403536116
uncon,1,1.423245873936808
uncon,3.4195388915137843,1.6812412373755872
uncon,3.4195388915137843,1.5965970956264601
uncon,0.925999418556223,1.6901960800285136
uncon,1.632268215499513,1.4913616938342726
con,3.608809242675524,1.7817553746524688
con,2.700439718141092,1.5378190950732742
con,3.786596361890807,1.4983105537896004
con,3.548436624696042,1.8779469516291882
con,3.678071905112638,1.7201593034059568
con,5.104336659814735,1.8129133566428555
con,5.0916998341368105,1.6180480967120927
con,3.8972404255747994,1.3010299956639813
con,3.584962500721156,1.2787536009528289
con,3.584962500721156,1.7958800173440752
con,2.7441610955704103,1.2430380486862944
con,2.560714954474479,1.6232492903979006
con,3.608809242675524,1.3979400086720377
con,1.8875252707415875,1.146128035678238
con,5.137503523749935,1.6946051989335686
con,3.3923174227787602,1.4983105537896004
con,3.596935142387232,1.5740312677277188
con,3.4195388915137843,1.5965970956264601
con,5.112700132749362,1.6232492903979006
con,3.817623257511431,1.7283537820212285
con,2.765534746362977,1.0606978403536116
con,3.4195388915137843,1.6812412373755872
con,3.4195388915137843,1.5965970956264601
